CurrentState,Receiver,Giver,Amount,,,
5,Family 3,Family 5,15,,,
5,Family 5,Family 3,15,,,
5,Family 5,Family 3,45,,,
5,Family 2,Community,15,,,
5,Family 2,Family 1,10,,,
5,Family 2,Family 0,80,,,
5,Family 1,Family 2,15,,,
5,Family 0,Family 2,15,,,
5,Family 3,Community,15,,,
5,Family 1,Family 0,90,,,
6,Family 9,Community,270,,,
6,Family 9,Community,180,,,
6,Family 9,Family 3,5,,,
6,Family 10,Family 0,40,,,
6,Family 10,Family 1,40,,,
6,Family 10,Family 2,40,,,
6,Family 10,Family 3,40,,,
6,Family 10,Family 5,40,,,
6,Family 10,Community,100,,,
6,Family 10,Family 0,2,,,
6,Family 10,Family 1,2,,,
6,Family 10,Family 2,2,,,
6,Family 10,Family 3,2,,,
6,Family 10,Family 5,2,,,
6,Family 10,Family 6,25,,,
6,Family 10,Family 7,15,,,
6,Family 7,Family 6,20,,,
6,Family 7,Family 3,20,,,
6,Family 7,Family 0,2,,,
6,Family 7,Family 1,2,,,
6,Family 7,Family 2,2,,,
6,Family 7,Family 3,2,,,
6,Family 7,Family 5,2,,,
6,Family 7,Family 6,260,,,
6,Family 8,Family 0,20,,,
6,Family 8,Family 1,5,,,
6,Family 8,Family 2,10,,,
6,Family 8,Community,15,,,
6,Family 6,Family 3,20,,,
6,Family 6,Family 0,2,,,
6,Family 6,Family 1,2,,,
6,Family 6,Family 2,2,,,
6,Family 6,Family 3,2,,,
6,Family 6,Family 5,2,,,
6,Family 4,Community,60,,,
6,Family 5,Family 3,50,,,
6,Family 3,Family 5,15,,,
6,Family 5,Family 3,15,,,
6,Family 5,Family 3,45,,,
6,Family 2,Community,15,,,
6,Family 2,Family 1,10,,,
6,Family 2,Family 0,80,,,
6,Family 1,Family 2,15,,,
6,Family 0,Family 2,15,,,
6,Family 3,Community,15,,,
6,Family 1,Family 0,90,,,
7,Family 11,Family 0,80,,,
7,Family 11,Family 1,80,,,
7,Family 11,Family 2,80,,,
7,Family 11,Family 3,80,,,
7,Family 11,Family 5,80,,,
7,Family 11,Community,360,,,
7,Family 11,Family 0,2,,,
7,Family 11,Family 1,2,,,
7,Family 11,Family 2,2,,,
7,Family 11,Family 3,2,,,
7,Family 11,Family 5,2,,,
7,Family 11,Family 6,25,,,
7,Family 11,Family 7,15,,,
7,Family 6,Family 11,60,,,
7,Family 7,Family 11,60,,,
7,Family 12,Community,270,,,
7,Family 12,Community,90,,,
7,Family 8,Community,15,,,
7,Family 12,Community,15,,,
7,Family 12,Community,210,,,
7,Family 12,Family 4,5,,,
7,Family 9,Family 3,5,,,
7,Family 10,Family 0,2,,,
7,Family 10,Family 1,2,,,
7,Family 10,Family 2,2,,,
7,Family 10,Family 3,2,,,
7,Family 10,Family 5,2,,,
7,Family 10,Family 6,25,,,
7,Family 10,Family 7,15,,,
7,Family 7,Family 6,20,,,
7,Family 7,Family 3,20,,,
7,Family 7,Family 0,2,,,
7,Family 7,Family 1,2,,,
7,Family 7,Family 2,2,,,
7,Family 7,Family 3,2,,,
7,Family 7,Family 5,2,,,
7,Family 7,Family 6,260,,,
7,Family 8,Family 0,20,,,
7,Family 8,Family 1,5,,,
7,Family 8,Family 2,10,,,
7,Family 8,Community,15,,,
7,Family 6,Family 3,20,,,
7,Family 6,Family 0,2,,,
7,Family 6,Family 1,2,,,
7,Family 6,Family 2,2,,,
7,Family 6,Family 3,2,,,
7,Family 6,Family 5,2,,,
7,Family 4,Community,60,,,
7,Family 5,Family 3,50,,,
7,Family 3,Family 5,15,,,
7,Family 5,Family 3,15,,,
7,Family 5,Family 3,45,,,
7,Family 2,Community,15,,,
7,Family 2,Family 1,10,,,
7,Family 2,Family 0,80,,,
7,Family 1,Family 2,15,,,
7,Family 0,Family 2,15,,,
7,Family 3,Community,15,,,
7,Family 1,Family 0,90,,,
8,Family 13,Community,440,,,
8,Family 13,Community,240,,,
8,Family 13,Community,30,,,
8,Family 14,Family 0,160,,,
8,Family 14,Family 1,160,,,
8,Family 14,Family 2,160,,,
8,Family 14,Family 3,160,,,
8,Family 14,Family 5,160,,,
8,Family 14,Community,420,,,
8,Family 14,Family 11,30,,,
8,Family 14,Family 0,2,,,
8,Family 14,Family 1,2,,,
8,Family 14,Family 2,2,,,
8,Family 14,Family 3,2,,,
8,Family 14,Family 5,2,,,
8,Family 11,Family 0,2,,,
8,Family 11,Family 1,2,,,
8,Family 11,Family 2,2,,,
8,Family 11,Family 3,2,,,
8,Family 11,Family 5,2,,,
8,Family 11,Family 6,25,,,
8,Family 11,Family 7,15,,,
8,Family 6,Family 11,60,,,
8,Family 7,Family 11,60,,,
8,Family 12,Community,90,,,
8,Family 12,Family 4,5,,,
8,Family 9,Family 3,5,,,
8,Family 10,Family 0,2,,,
8,Family 10,Family 1,2,,,
8,Family 10,Family 2,2,,,
8,Family 10,Family 3,2,,,
8,Family 10,Family 5,2,,,
8,Family 10,Family 6,25,,,
8,Family 10,Family 7,15,,,
8,Family 7,Family 6,20,,,
8,Family 7,Family 3,20,,,
8,Family 7,Family 0,2,,,
8,Family 7,Family 1,2,,,
8,Family 7,Family 2,2,,,
8,Family 7,Family 3,2,,,
8,Family 7,Family 5,2,,,
8,Family 7,Family 6,260,,,
8,Family 8,Family 0,20,,,
8,Family 8,Family 1,5,,,
8,Family 8,Family 2,10,,,
8,Family 8,Community,15,,,
8,Family 6,Family 3,20,,,
8,Family 6,Family 0,2,,,
8,Family 6,Family 1,2,,,
8,Family 6,Family 2,2,,,
8,Family 6,Family 3,2,,,
8,Family 6,Family 5,2,,,
8,Family 4,Community,60,,,
8,Family 5,Family 3,50,,,
8,Family 3,Family 5,15,,,
8,Family 5,Family 3,15,,,
8,Family 5,Family 3,45,,,
8,Family 2,Community,15,,,
8,Family 2,Family 1,10,,,
8,Family 2,Family 0,80,,,
8,Family 1,Family 2,15,,,
8,Family 0,Family 2,15,,,
8,Family 3,Community,15,,,
8,Family 1,Family 0,90,,,
9,Family 15,Community,440,,,
9,Family 15,Community,390,,,
9,Family 15,Family 13,10,,,
9,Family 15,Community,45,,,
9,Family 16,Family 0,160,,,
9,Family 16,Family 1,160,,,
9,Family 16,Family 2,160,,,
9,Family 16,Family 3,160,,,
9,Family 16,Family 5,160,,,
9,Family 16,Community,540,,,
9,Family 16,Family 0,2,,,
9,Family 16,Family 1,2,,,
9,Family 16,Family 2,2,,,
9,Family 16,Family 3,2,,,
9,Family 16,Family 5,2,,,
9,Family 16,Family 3,20,,,
9,Family 16,Family 6,120,,,
9,Family 16,Family 7,15,,,
9,Family 6,Family 16,24,,,
9,Family 7,Family 16,24,,,
9,Family 10,Family 16,24,,,
9,Family 11,Family 16,24,,,
9,Family 13,Family 16,24,,,
9,Family 13,Community,30,,,
9,Family 14,Family 11,30,,,
9,Family 14,Family 0,2,,,
9,Family 14,Family 1,2,,,
9,Family 14,Family 2,2,,,
9,Family 14,Family 3,2,,,
9,Family 14,Family 5,2,,,
9,Family 11,Family 0,2,,,
9,Family 11,Family 1,2,,,
9,Family 11,Family 2,2,,,
9,Family 11,Family 3,2,,,
9,Family 11,Family 5,2,,,
9,Family 11,Family 6,25,,,
9,Family 11,Family 7,15,,,
9,Family 6,Family 11,60,,,
9,Family 7,Family 11,60,,,
9,Family 12,Community,90,,,
9,Family 12,Family 4,5,,,
9,Family 9,Family 3,5,,,
9,Family 10,Family 0,2,,,
9,Family 10,Family 1,2,,,
9,Family 10,Family 2,2,,,
9,Family 10,Family 3,2,,,
9,Family 10,Family 5,2,,,
9,Family 10,Family 6,25,,,
9,Family 10,Family 7,15,,,
9,Family 7,Family 6,20,,,
9,Family 7,Family 3,20,,,
9,Family 7,Family 0,2,,,
9,Family 7,Family 1,2,,,
9,Family 7,Family 2,2,,,
9,Family 7,Family 3,2,,,
9,Family 7,Family 5,2,,,
9,Family 7,Family 6,260,,,
9,Family 8,Family 0,20,,,
9,Family 8,Family 1,5,,,
9,Family 8,Family 2,10,,,
9,Family 8,Community,15,,,
9,Family 6,Family 3,20,,,
9,Family 6,Family 0,2,,,
9,Family 6,Family 1,2,,,
9,Family 6,Family 2,2,,,
9,Family 6,Family 3,2,,,
9,Family 6,Family 5,2,,,
9,Family 4,Community,60,,,
9,Family 5,Family 3,50,,,
9,Family 3,Family 5,15,,,
9,Family 5,Family 3,15,,,
9,Family 5,Family 3,45,,,
9,Family 2,Community,15,,,
9,Family 2,Family 1,10,,,
9,Family 2,Family 0,80,,,
9,Family 1,Family 2,15,,,
9,Family 0,Family 2,15,,,
9,Family 3,Community,15,,,
9,Family 1,Family 0,90,,,
10,Family 4,Community,360,,,
10,Family 13,Community,360,,,
10,Family 15,Community,360,,,
10,Family 15,Family 13,10,,,
10,Family 15,Community,45,,,
10,Family 16,Family 0,2,,,
10,Family 16,Family 1,2,,,
10,Family 16,Family 2,2,,,
10,Family 16,Family 3,2,,,
10,Family 16,Family 5,2,,,
10,Family 16,Family 3,20,,,
10,Family 16,Family 6,120,,,
10,Family 16,Family 7,15,,,
10,Family 6,Family 16,24,,,
10,Family 7,Family 16,24,,,
10,Family 10,Family 16,24,,,
10,Family 11,Family 16,24,,,
10,Family 13,Family 16,24,,,
10,Family 13,Community,30,,,
10,Family 14,Family 11,30,,,
10,Family 14,Family 0,2,,,
10,Family 14,Family 1,2,,,
10,Family 14,Family 2,2,,,
10,Family 14,Family 3,2,,,
10,Family 14,Family 5,2,,,
10,Family 11,Family 0,2,,,
10,Family 11,Family 1,2,,,
10,Family 11,Family 2,2,,,
10,Family 11,Family 3,2,,,
10,Family 11,Family 5,2,,,
10,Family 11,Family 6,25,,,
10,Family 11,Family 7,15,,,
10,Family 6,Family 11,60,,,
10,Family 7,Family 11,60,,,
10,Family 12,Community,90,,,
10,Family 12,Family 4,5,,,
10,Family 9,Family 3,5,,,
10,Family 10,Family 0,2,,,
10,Family 10,Family 1,2,,,
10,Family 10,Family 2,2,,,
10,Family 10,Family 3,2,,,
10,Family 10,Family 5,2,,,
10,Family 10,Family 6,25,,,
10,Family 10,Family 7,15,,,
10,Family 7,Family 6,20,,,
10,Family 7,Family 3,20,,,
10,Family 7,Family 0,2,,,
10,Family 7,Family 1,2,,,
10,Family 7,Family 2,2,,,
10,Family 7,Family 3,2,,,
10,Family 7,Family 5,2,,,
10,Family 7,Family 6,260,,,
10,Family 8,Family 0,20,,,
10,Family 8,Family 1,5,,,
10,Family 8,Family 2,10,,,
10,Family 8,Community,15,,,
10,Family 6,Family 3,20,,,
10,Family 6,Family 0,2,,,
10,Family 6,Family 1,2,,,
10,Family 6,Family 2,2,,,
10,Family 6,Family 3,2,,,
10,Family 6,Family 5,2,,,
10,Family 4,Community,60,,,
10,Family 5,Family 3,50,,,
10,Family 3,Family 5,15,,,
10,Family 5,Family 3,15,,,
10,Family 5,Family 3,45,,,
10,Family 2,Community,15,,,
10,Family 2,Family 1,10,,,
10,Family 2,Family 0,80,,,
10,Family 1,Family 2,15,,,
10,Family 0,Family 2,15,,,
10,Family 3,Community,15,,,
10,Family 1,Family 0,90,,,
11,Family 17,Family 4,333,,,
11,Family 17,Family 13,333,,,
11,Family 17,Family 15,333,,,
11,Family 17,Community,720,,,
11,Family 17,Family 4,8,,,
11,Family 17,Family 13,8,,,
11,Family 17,Family 15,8,,,
11,Family 18,Family 4,200,,,
11,Family 18,Family 13,200,,,
11,Family 18,Family 15,200,,,
11,Family 18,Community,720,,,
11,Family 18,Family 4,8,,,
11,Family 18,Family 13,8,,,
11,Family 18,Family 15,8,,,
11,Family 18,Family 17,45,,,
11,Family 15,Family 13,10,,,
11,Family 15,Community,45,,,
11,Family 16,Family 0,2,,,
11,Family 16,Family 1,2,,,
11,Family 16,Family 2,2,,,
11,Family 16,Family 3,2,,,
11,Family 16,Family 5,2,,,
11,Family 16,Family 3,20,,,
11,Family 16,Family 6,120,,,
11,Family 16,Family 7,15,,,
11,Family 6,Family 16,24,,,
11,Family 7,Family 16,24,,,
11,Family 10,Family 16,24,,,
11,Family 11,Family 16,24,,,
11,Family 13,Family 16,24,,,
11,Family 13,Community,30,,,
11,Family 14,Family 11,30,,,
11,Family 14,Family 0,2,,,
11,Family 14,Family 1,2,,,
11,Family 14,Family 2,2,,,
11,Family 14,Family 3,2,,,
11,Family 14,Family 5,2,,,
11,Family 11,Family 0,2,,,
11,Family 11,Family 1,2,,,
11,Family 11,Family 2,2,,,
11,Family 11,Family 3,2,,,
11,Family 11,Family 5,2,,,
11,Family 11,Family 6,25,,,
11,Family 11,Family 7,15,,,
11,Family 6,Family 11,60,,,
11,Family 7,Family 11,60,,,
11,Family 12,Community,90,,,
11,Family 12,Family 4,5,,,
11,Family 9,Family 3,5,,,
11,Family 10,Family 0,2,,,
11,Family 10,Family 1,2,,,
11,Family 10,Family 2,2,,,
11,Family 10,Family 3,2,,,
11,Family 10,Family 5,2,,,
11,Family 10,Family 6,25,,,
11,Family 10,Family 7,15,,,
11,Family 7,Family 6,20,,,
11,Family 7,Family 3,20,,,
11,Family 7,Family 0,2,,,
11,Family 7,Family 1,2,,,
11,Family 7,Family 2,2,,,
11,Family 7,Family 3,2,,,
11,Family 7,Family 5,2,,,
11,Family 7,Family 6,260,,,
11,Family 8,Family 0,20,,,
11,Family 8,Family 1,5,,,
11,Family 8,Family 2,10,,,
11,Family 8,Community,15,,,
11,Family 6,Family 3,20,,,
11,Family 6,Family 0,2,,,
11,Family 6,Family 1,2,,,
11,Family 6,Family 2,2,,,
11,Family 6,Family 3,2,,,
11,Family 6,Family 5,2,,,
11,Family 4,Community,60,,,
11,Family 5,Family 3,50,,,
11,Family 3,Family 5,15,,,
11,Family 5,Family 3,15,,,
11,Family 5,Family 3,45,,,
11,Family 2,Community,15,,,
11,Family 2,Family 1,10,,,
11,Family 2,Family 0,80,,,
11,Family 1,Family 2,15,,,
11,Family 0,Family 2,15,,,
11,Family 3,Community,15,,,
11,Family 1,Family 0,90,,,
12,Family 19,Family 4,266,,,
12,Family 19,Family 13,266,,,
12,Family 19,Family 15,266,,,
12,Family 19,Community,480,,,
12,Family 19,Family 4,8,,,
12,Family 19,Family 13,8,,,
12,Family 19,Family 15,8,,,
12,Family 19,Family 17,45,,,
12,Family 17,Family 19,45,,,
12,Family 18,Family 19,45,,,
12,Family 20,Community,410,,,
12,Family 20,Community,15,,,
12,Family 17,Family 4,8,,,
12,Family 17,Family 13,8,,,
12,Family 17,Family 15,8,,,
12,Family 18,Family 4,8,,,
12,Family 18,Family 13,8,,,
12,Family 18,Family 15,8,,,
12,Family 18,Family 17,45,,,
12,Family 15,Family 13,10,,,
12,Family 15,Community,45,,,
12,Family 16,Family 0,2,,,
12,Family 16,Family 1,2,,,
12,Family 16,Family 2,2,,,
12,Family 16,Family 3,2,,,
12,Family 16,Family 5,2,,,
12,Family 16,Family 3,20,,,
12,Family 16,Family 6,120,,,
12,Family 16,Family 7,15,,,
12,Family 6,Family 16,24,,,
12,Family 7,Family 16,24,,,
12,Family 10,Family 16,24,,,
12,Family 11,Family 16,24,,,
12,Family 13,Family 16,24,,,
12,Family 13,Community,30,,,
12,Family 14,Family 11,30,,,
12,Family 14,Family 0,2,,,
12,Family 14,Family 1,2,,,
12,Family 14,Family 2,2,,,
12,Family 14,Family 3,2,,,
12,Family 14,Family 5,2,,,
12,Family 11,Family 0,2,,,
12,Family 11,Family 1,2,,,
12,Family 11,Family 2,2,,,
12,Family 11,Family 3,2,,,
12,Family 11,Family 5,2,,,
12,Family 11,Family 6,25,,,
12,Family 11,Family 7,15,,,
12,Family 6,Family 11,60,,,
12,Family 7,Family 11,60,,,
12,Family 12,Community,90,,,
12,Family 12,Family 4,5,,,
12,Family 9,Family 3,5,,,
12,Family 10,Family 0,2,,,
12,Family 10,Family 1,2,,,
12,Family 10,Family 2,2,,,
12,Family 10,Family 3,2,,,
12,Family 10,Family 5,2,,,
12,Family 10,Family 6,25,,,
12,Family 10,Family 7,15,,,
12,Family 7,Family 6,20,,,
12,Family 7,Family 3,20,,,
12,Family 7,Family 0,2,,,
12,Family 7,Family 1,2,,,
12,Family 7,Family 2,2,,,
12,Family 7,Family 3,2,,,
12,Family 7,Family 5,2,,,
12,Family 7,Family 6,260,,,
12,Family 8,Family 0,20,,,
12,Family 8,Family 1,5,,,
12,Family 8,Family 2,10,,,
12,Family 8,Community,15,,,
12,Family 6,Family 3,20,,,
12,Family 6,Family 0,2,,,
12,Family 6,Family 1,2,,,
12,Family 6,Family 2,2,,,
12,Family 6,Family 3,2,,,
12,Family 6,Family 5,2,,,
12,Family 4,Community,60,,,
12,Family 5,Family 3,50,,,
12,Family 3,Family 5,15,,,
12,Family 5,Family 3,15,,,
12,Family 5,Family 3,45,,,
12,Family 2,Community,15,,,
12,Family 2,Family 1,10,,,
12,Family 2,Family 0,80,,,
12,Family 1,Family 2,15,,,
12,Family 0,Family 2,15,,,
12,Family 3,Community,15,,,
12,Family 1,Family 0,90,,,
13,Family 21,Family 20,30,,,
13,Family 21,Community,220,,,
13,Family 22,Community,150,,,
13,Family 21,Family 22,15,,,
13,Family 22,Community,15,,,
13,Family 22,Family 20,30,,,
13,Family 22,Community,100,,,
13,Family 22,Community,95,,,
13,Family 21,Community,95,,,
13,Family 20,Family 21,8,,,
13,Family 20,Family 22,8,,,
13,Family 22,Family 20,20,,,
13,Family 22,Community,15,,,
13,Family 22,Community,15,,,
13,Family 19,Family 4,8,,,
13,Family 19,Family 13,8,,,
13,Family 19,Family 15,8,,,
13,Family 19,Family 17,45,,,
13,Family 17,Family 19,45,,,
13,Family 18,Family 19,45,,,
13,Family 20,Community,15,,,
13,Family 17,Family 4,8,,,
13,Family 17,Family 13,8,,,
13,Family 17,Family 15,8,,,
13,Family 18,Family 4,8,,,
13,Family 18,Family 13,8,,,
13,Family 18,Family 15,8,,,
13,Family 18,Family 17,45,,,
13,Family 15,Family 13,10,,,
13,Family 15,Community,45,,,
13,Family 16,Family 0,2,,,
13,Family 16,Family 1,2,,,
13,Family 16,Family 2,2,,,
13,Family 16,Family 3,2,,,
13,Family 16,Family 5,2,,,
13,Family 16,Family 3,20,,,
13,Family 16,Family 6,120,,,
13,Family 16,Family 7,15,,,
13,Family 6,Family 16,24,,,
13,Family 7,Family 16,24,,,
13,Family 10,Family 16,24,,,
13,Family 11,Family 16,24,,,
13,Family 13,Family 16,24,,,
13,Family 13,Community,30,,,
13,Family 14,Family 11,30,,,
13,Family 14,Family 0,2,,,
13,Family 14,Family 1,2,,,
13,Family 14,Family 2,2,,,
13,Family 14,Family 3,2,,,
13,Family 14,Family 5,2,,,
13,Family 11,Family 0,2,,,
13,Family 11,Family 1,2,,,
13,Family 11,Family 2,2,,,
13,Family 11,Family 3,2,,,
13,Family 11,Family 5,2,,,
13,Family 11,Family 6,25,,,
13,Family 11,Family 7,15,,,
13,Family 6,Family 11,60,,,
13,Family 7,Family 11,60,,,
13,Family 12,Community,90,,,
13,Family 12,Family 4,5,,,
13,Family 9,Family 3,5,,,
13,Family 10,Family 0,2,,,
13,Family 10,Family 1,2,,,
13,Family 10,Family 2,2,,,
13,Family 10,Family 3,2,,,
13,Family 10,Family 5,2,,,
13,Family 10,Family 6,25,,,
13,Family 10,Family 7,15,,,
13,Family 7,Family 6,20,,,
13,Family 7,Family 3,20,,,
13,Family 7,Family 0,2,,,
13,Family 7,Family 1,2,,,
13,Family 7,Family 2,2,,,
13,Family 7,Family 3,2,,,
13,Family 7,Family 5,2,,,
13,Family 7,Family 6,260,,,
13,Family 8,Family 0,20,,,
13,Family 8,Family 1,5,,,
13,Family 8,Family 2,10,,,
13,Family 8,Community,15,,,
13,Family 6,Family 3,20,,,
13,Family 6,Family 0,2,,,
13,Family 6,Family 1,2,,,
13,Family 6,Family 2,2,,,
13,Family 6,Family 3,2,,,
13,Family 6,Family 5,2,,,
13,Family 4,Community,60,,,
13,Family 5,Family 3,50,,,
13,Family 3,Family 5,15,,,
13,Family 5,Family 3,15,,,
13,Family 5,Family 3,45,,,
13,Family 2,Community,15,,,
13,Family 2,Family 1,10,,,
13,Family 2,Family 0,80,,,
13,Family 1,Family 2,15,,,
13,Family 0,Family 2,15,,,
13,Family 3,Community,15,,,
13,Family 1,Family 0,90,,,
14,Family 23,Community,370,,,
14,Family 23,Community,370,,,
14,Family 23,Community,30,,,
14,Family 23,Family 22,5,,,
14,Family 23,Family 21,5,,,
14,Family 23,Family 20,20,,,
14,Family 22,Family 23,15,,,
14,Family 21,Family 23,15,,,
14,Family 20,Family 23,15,,,
14,Family 23,Family 21,15,,,
14,Family 21,Family 22,15,,,
14,Family 22,Community,15,,,
14,Family 22,Family 20,30,,,
14,Family 22,Community,100,,,
14,Family 22,Community,95,,,
14,Family 21,Community,95,,,
14,Family 20,Family 21,8,,,
14,Family 20,Family 22,8,,,
14,Family 22,Family 20,20,,,
14,Family 22,Community,15,,,
14,Family 22,Community,15,,,
14,Family 19,Family 4,8,,,
14,Family 19,Family 13,8,,,
14,Family 19,Family 15,8,,,
14,Family 19,Family 17,45,,,
14,Family 17,Family 19,45,,,
14,Family 18,Family 19,45,,,
14,Family 20,Community,15,,,
14,Family 17,Family 4,8,,,
14,Family 17,Family 13,8,,,
14,Family 17,Family 15,8,,,
14,Family 18,Family 4,8,,,
14,Family 18,Family 13,8,,,
14,Family 18,Family 15,8,,,
14,Family 18,Family 17,45,,,
14,Family 15,Family 13,10,,,
14,Family 15,Community,45,,,
14,Family 16,Family 0,2,,,
14,Family 16,Family 1,2,,,
14,Family 16,Family 2,2,,,
14,Family 16,Family 3,2,,,
14,Family 16,Family 5,2,,,
14,Family 16,Family 3,20,,,
14,Family 16,Family 6,120,,,
14,Family 16,Family 7,15,,,
14,Family 6,Family 16,24,,,
14,Family 7,Family 16,24,,,
14,Family 10,Family 16,24,,,
14,Family 11,Family 16,24,,,
14,Family 13,Family 16,24,,,
14,Family 13,Community,30,,,
14,Family 14,Family 11,30,,,
14,Family 14,Family 0,2,,,
14,Family 14,Family 1,2,,,
14,Family 14,Family 2,2,,,
14,Family 14,Family 3,2,,,
14,Family 14,Family 5,2,,,
14,Family 11,Family 0,2,,,
14,Family 11,Family 1,2,,,
14,Family 11,Family 2,2,,,
14,Family 11,Family 3,2,,,
14,Family 11,Family 5,2,,,
14,Family 11,Family 6,25,,,
14,Family 11,Family 7,15,,,
14,Family 6,Family 11,60,,,
14,Family 7,Family 11,60,,,
14,Family 12,Community,90,,,
14,Family 12,Family 4,5,,,
14,Family 9,Family 3,5,,,
14,Family 10,Family 0,2,,,
14,Family 10,Family 1,2,,,
14,Family 10,Family 2,2,,,
14,Family 10,Family 3,2,,,
14,Family 10,Family 5,2,,,
14,Family 10,Family 6,25,,,
14,Family 10,Family 7,15,,,
14,Family 7,Family 6,20,,,
14,Family 7,Family 3,20,,,
14,Family 7,Family 0,2,,,
14,Family 7,Family 1,2,,,
14,Family 7,Family 2,2,,,
14,Family 7,Family 3,2,,,
14,Family 7,Family 5,2,,,
14,Family 7,Family 6,260,,,
14,Family 8,Family 0,20,,,
14,Family 8,Family 1,5,,,
14,Family 8,Family 2,10,,,
14,Family 8,Community,15,,,
14,Family 6,Family 3,20,,,
14,Family 6,Family 0,2,,,
14,Family 6,Family 1,2,,,
14,Family 6,Family 2,2,,,
14,Family 6,Family 3,2,,,
14,Family 6,Family 5,2,,,
14,Family 4,Community,60,,,
14,Family 5,Family 3,50,,,
14,Family 3,Family 5,15,,,
14,Family 5,Family 3,15,,,
14,Family 5,Family 3,45,,,
14,Family 2,Community,15,,,
14,Family 2,Family 1,10,,,
14,Family 2,Family 0,80,,,
14,Family 1,Family 2,15,,,
14,Family 0,Family 2,15,,,
14,Family 3,Community,15,,,
14,Family 1,Family 0,90,,,
15,Family 24,Community,300,,,
15,Family 24,Community,270,,,
15,Family 24,Family 23,60,,,
15,Family 24,Community,30,,,
15,Family 24,Family 20,5,,,
15,Family 24,Family 20,30,,,
15,Family 24,Family 22,30,,,
15,Family 24,Family 22,30,,,
15,Family 20,Family 24,15,,,
15,Family 21,Family 24,15,,,
15,Family 22,Family 24,15,,,
15,Family 23,Family 24,30,,,
15,Family 20,Family 24,10,,,
15,Family 21,Family 24,10,,,
15,Family 22,Family 24,10,,,
15,Family 23,Family 24,10,,,
15,Family 25,Community,1060,,,
15,Family 25,Family 24,10,,,
15,Family 21,Family 25,15,,,
15,Family 22,Family 25,15,,,
